name,trade date,option_type,price (in BTC),strike_price,maturity date
BTC-10APR20-4750-C,2020-04-02, Call,0.319,4750,2020-04-10
BTC-10APR20-4750-C,2020-04-04, Call,0.295,4750,2020-04-10
BTC-10APR20-4750-P,2020-03-28, Put,0.015,4750,2020-04-10
BTC-10APR20-4750-P,2020-03-29, Put,0.027,4750,2020-04-10
BTC-10APR20-4750-P,2020-03-30, Put,0.01,4750,2020-04-10
BTC-10APR20-4750-P,2020-03-31, Put,0.0065,4750,2020-04-10
BTC-10APR20-4750-P,2020-04-01, Put,0.006500000000000001,4750,2020-04-10
BTC-10APR20-4750-P,2020-04-02, Put,0.005,4750,2020-04-10
BTC-10APR20-4750-P,2020-04-03, Put,0.002,4750,2020-04-10
BTC-10APR20-4750-P,2020-04-04, Put,0.0020909090909090908,4750,2020-04-10
BTC-10APR20-4750-P,2020-04-05, Put,0.0020000000000000005,4750,2020-04-10
BTC-10APR20-4750-P,2020-04-06, Put,0.001,4750,2020-04-10
BTC-10APR20-4750-P,2020-04-07, Put,0.0005,4750,2020-04-10
BTC-10APR20-5000-C,2020-03-27, Call,0.267,5000,2020-04-10
BTC-10APR20-5000-P,2020-03-26, Put,0.019,5000,2020-04-10
BTC-10APR20-5000-P,2020-03-27, Put,0.0175,5000,2020-04-10
BTC-10APR20-5000-P,2020-03-28, Put,0.026,5000,2020-04-10
BTC-10APR20-5000-P,2020-03-29, Put,0.03,5000,2020-04-10
BTC-10APR20-5000-P,2020-03-30, Put,0.011,5000,2020-04-10
BTC-10APR20-5000-P,2020-03-31, Put,0.01,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-01, Put,0.0065,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-02, Put,0.005,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-03, Put,0.0035000000000000005,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-04, Put,0.003,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-05, Put,0.003,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-06, Put,0.001,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-07, Put,0.0005,5000,2020-04-10
BTC-10APR20-5000-P,2020-04-09, Put,0.0005,5000,2020-04-10
BTC-10APR20-5250-P,2020-03-26, Put,0.022,5250,2020-04-10
BTC-10APR20-5250-P,2020-03-27, Put,0.0225,5250,2020-04-10
BTC-10APR20-5250-P,2020-03-28, Put,0.0265,5250,2020-04-10
BTC-10APR20-5250-P,2020-03-29, Put,0.0405,5250,2020-04-10
BTC-10APR20-5250-P,2020-03-30, Put,0.016,5250,2020-04-10
BTC-10APR20-5250-P,2020-03-31, Put,0.012,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-01, Put,0.0095,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-02, Put,0.007,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-03, Put,0.005,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-04, Put,0.003,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-05, Put,0.004,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-06, Put,0.001,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-07, Put,0.0005,5250,2020-04-10
BTC-10APR20-5250-P,2020-04-08, Put,0.0005,5250,2020-04-10
BTC-10APR20-5500-C,2020-03-27, Call,0.1925,5500,2020-04-10
BTC-10APR20-5500-C,2020-03-29, Call,0.11749999999999998,5500,2020-04-10
BTC-10APR20-5500-C,2020-03-31, Call,0.1405,5500,2020-04-10
BTC-10APR20-5500-C,2020-04-01, Call,0.14,5500,2020-04-10
BTC-10APR20-5500-C,2020-04-04, Call,0.19,5500,2020-04-10
BTC-10APR20-5500-C,2020-04-09, Call,0.247,5500,2020-04-10
BTC-10APR20-5500-C,2020-04-10, Call,0.2435,5500,2020-04-10
BTC-10APR20-5500-P,2020-03-26, Put,0.033,5500,2020-04-10
BTC-10APR20-5500-P,2020-03-27, Put,0.032,5500,2020-04-10
BTC-10APR20-5500-P,2020-03-28, Put,0.0325,5500,2020-04-10
BTC-10APR20-5500-P,2020-03-29, Put,0.056,5500,2020-04-10
BTC-10APR20-5500-P,2020-03-30, Put,0.02,5500,2020-04-10
BTC-10APR20-5500-P,2020-03-31, Put,0.016,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-01, Put,0.0115,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-02, Put,0.0105,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-03, Put,0.0065,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-04, Put,0.0035000000000000005,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-05, Put,0.0045,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-06, Put,0.002,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-07, Put,0.0015,5500,2020-04-10
BTC-10APR20-5500-P,2020-04-08, Put,0.0005000000000000001,5500,2020-04-10
BTC-10APR20-5750-C,2020-03-28, Call,0.1455,5750,2020-04-10
BTC-10APR20-5750-C,2020-03-30, Call,0.107,5750,2020-04-10
BTC-10APR20-5750-C,2020-04-01, Call,0.11,5750,2020-04-10
BTC-10APR20-5750-C,2020-04-09, Call,0.2095,5750,2020-04-10
BTC-10APR20-5750-P,2020-03-26, Put,0.045,5750,2020-04-10
BTC-10APR20-5750-P,2020-03-27, Put,0.035,5750,2020-04-10
BTC-10APR20-5750-P,2020-03-28, Put,0.0455,5750,2020-04-10
BTC-10APR20-5750-P,2020-03-29, Put,0.0725,5750,2020-04-10
BTC-10APR20-5750-P,2020-03-30, Put,0.0345,5750,2020-04-10
BTC-10APR20-5750-P,2020-03-31, Put,0.02,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-01, Put,0.0135,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-02, Put,0.0125,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-03, Put,0.008,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-04, Put,0.0055,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-05, Put,0.006,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-06, Put,0.0025,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-07, Put,0.0025,5750,2020-04-10
BTC-10APR20-5750-P,2020-04-08, Put,0.0005000000000000001,5750,2020-04-10
